Region,Company,Drop Ship Source,Main Group,Product Group,Order Type,Net Sales (HKD),Ordered,Date
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-43132.8,0,2022-01-07
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,571609.3,0,2022-01-07
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-07
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,793084.78,0,2022-01-07
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-07
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Sample Order,0,0,2022-01-07
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,70.5,0,2022-01-07
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-26533.6,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,943424.38,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,120437.3,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-1140,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,434338.76,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Return,-531,0,2022-01-10
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-7657.5,0,2022-01-11
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1112536.11,0,2022-01-11
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-11
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,555956.9,0,2022-01-11
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-11
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,268.92,0,2022-01-11
HK,EPH OU,ORDER ENTRY,3 - 外版,1 - 幼兒,EPH Normal Sales,0,0,2022-01-11
HK,EPH OU,ORDER ENTRY,3 - 外版,2 - 小學,EPH Normal Sales,81.6,0,2022-01-11
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sales,53797,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sample,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1459104.3,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-2247.49,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,921327.99,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,256.5,0,2022-01-12
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,10,0,2022-01-12
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,2003394.88,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,562920.45,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Return,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Return,-612.54,0,2022-01-13
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sales,170899,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sample,0,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-1817,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1374241.3,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,141935.74,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,4007,0,2022-01-14
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,41.5,0,2022-01-14
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1546896.3,0,2022-01-17
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-17
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,170655.03,0,2022-01-17
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-17
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,245.1,0,2022-01-17
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,10,0,2022-01-17
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-12201.2,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,764052.82,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,800,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,409790.74,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,3803.89,0,2022-01-18
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,31,0,2022-01-18
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-2990,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,854981.94,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,110,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,489669.26,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Sample Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,60,0,2022-01-19
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1051420.11,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,36100,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,678.88,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,46.5,0,2022-01-20
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sales,54467.8,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sample,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-2459.4,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,794933.07,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,359153.6,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,417791.71,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Sample Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,61.5,0,2022-01-21
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-9893.6,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,445046.09,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-342.35,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,54950.4,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,1550.5,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Sample Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,3,0,2022-01-24
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sales,284709.6,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sample,0,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-14369.5,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,670013.8,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,1512779.7,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-31070.49,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,50012.34,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Return,-270,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,433.26,0,2022-01-25
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Event Sales,729.5,0,2022-01-25
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,1,0,2022-01-25
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sales,74454.9,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Event Sample,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,807913.78,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,125820.13,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Return,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,464,0,2022-01-26
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,156295.21,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-7589.6,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,22542.25,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,415,0,2022-01-27
HK,EPH OU,ORDER ENTRY,3 - 外版,1 - 幼兒,EPH Normal Sales,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,30,0,2022-01-27
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-5252.6,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,43061.62,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Return,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,960899.1,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-14767.22,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,86472.41,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Return,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Event Sales,0.5,0,2022-01-28
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,30,0,2022-01-28
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,66284,0,2022-01-31
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-31
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-31
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,1067.6,0,2022-01-31
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-31
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,139,0,2022-01-31
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,30,0,2022-01-31
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,0,184883.47,2023-04-03
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2023-04-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,0,26994.66,2023-04-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2023-04-03
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,0,4852.65,2023-04-03
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Sample Order,0,0,2023-04-03
HK,EPH OU,ORDER ENTRY,2 - 代理版,2 - 小學,EPH Normal Sales,0,251.1,2023-04-03
HK,EPH OU,ORDER ENTRY,3 - 外版,2 - 小學,EPH Normal Sales,0,5890,2023-04-03
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,0,121,2023-04-03
